Ranges: [0.000049-0.000079, 0.000079-0.000128, 0.000128-0.000207, 0.000207-0.000334, 0.000334-0.000541, 0.000541-0.000875, 0.000875-0.001416, 0.001416-0.002291, 0.002291-0.003707, 0.003707-0.005998, 0.005998-0.009706, 0.009706-0.015704, 0.015704-0.025410, 0.025410-0.041114, 0.041114-0.066524, 0.066524-0.107638, 0.107638-0.174161, 0.174161-0.281799, 0.281799-0.455960, 0.455960-0.737758, 0.737758-0.999951]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.385184, 193.062454, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 500, 9000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003181, 0.003197, 0.004054, 0.005162, 0.004064, 0.010604, 0.056565, 0.035280, 0.008353, 0.004062, 0.008353, 0.189828, 0.617134, 0.027816, 0.003197, 0.003197, 0.003193, 0.003187, 0.003197, 0.003190, 0.003187]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.385184, 192.876735, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 500, 9500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003183, 0.003198, 0.004057, 0.005165, 0.004067, 0.010611, 0.056598, 0.035301, 0.008358, 0.004065, 0.008358, 0.189940, 0.616906, 0.027832, 0.003198, 0.003198, 0.003195, 0.003189, 0.003198, 0.003192, 0.003189]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.385184, 192.691195, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 500, 10000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003185, 0.003200, 0.004059, 0.005168, 0.004069, 0.010617, 0.056632, 0.035322, 0.008363, 0.004067, 0.008363, 0.190053, 0.616679, 0.027849, 0.003200, 0.003200, 0.003197, 0.003191, 0.003200, 0.003194, 0.003191]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.356614, 192.691195, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 1000, 10000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
